Account Code,Account Name,Portal URL,Type
VEV56CQ8,Lucie,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VEV56CQ8,Regular
VJYC4NNL,Konrad Private Event,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VJYC4NNL,Regular
VLY88JJW,Kee To Bala,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VLY88JJW,Live Nation
VM7K7XF3,Minami,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VM7K7XF3,Regular
VU8N9JNW,Westin Harbour Castle,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VU8N9JNW,Regular
VWXWMCGP,Magnone's Italian Kitchen,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VWXWMCGP,Regular
W34SWXZF,aKin,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=W34SWXZF,Regular
W7HM2GHG,Elmhirst's Resort,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=W7HM2GHG,Regular
WCQ3WJQG,Casa Paco,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WCQ3WJQG,Regular
WEKFG4PY,The Springwood,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WEKFG4PY,Regular
WKACJP7C,The Avling Kitchen and Brewery,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WKACJP7C,Regular
WKYW93MR,Stone Crock Inc.,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WKYW93MR,Regular
WQLRAUAQ,Juna Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WQLRAUAQ,Regular
WRD237R7,Shinka Sushi Bar,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WRD237R7,Regular
WTBGQP4N,Made In Canada Eatery & Whisky Pub,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WTBGQP4N,Regular
WV5JK7RF,Stratos Pizza,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=WV5JK7RF,Regular
X4NN29RT,Another Bar,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=X4NN29RT,Regular
X79QTBHH,555 Brewing Co.,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=X79QTBHH,Regular
XEB59A52,Don Valley Golf Course,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=XEB59A52,Regular
XGDRGZAT,Bar Danu,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=XGDRGZAT,Regular
